PubID,Name,Company_Name,Address,City,State,Zip,Telephone,Fax,Comments,SSMA_TimeStamp
1,SAMS,SAMS,11711 N. College Ave., Ste 140,Carmel,IN,46032,,,,System.Byte[]
2,PRENTICE HALL,PRENTICE HALL,15 Columbus Cir.,New York,NY,10023,800-922-0579,,,System.Byte[]
3,M & T,M & T BOOKS,,,,,,,,System.Byte[]
4,MIT,MIT PR,,,,,,,,System.Byte[]
5,MACMILLAN COMPUTER,MACMILLAN COMPUTER PUB,11 W. 42nd St., 3rd flr.,New York,NY,10036,212-869-7440,,,System.Byte[]
6,HIGHTEXT PUBNS,HIGHTEXT PUBNS,,,,,,,,System.Byte[]
7,SPRINGER VERLAG,SPRINGER VERLAG,,,,,,,,System.Byte[]
8,O'REILLY & ASSOC,O'REILLY & ASSOC,90 Sherman St.,Cambridge,MA,02140,,,,System.Byte[]
9,ADDISON-WESLEY,ADDISON-WESLEY PUB CO,Rte 128,Reading,MA,01867,617-944-3700,617-964-9460,,System.Byte[]
10,JOHN WILEY & SONS,JOHN WILEY & SONS,605 Third Ave,New York,NY,10158,212-850-6000,212-850-6088 ,DATABASES MICROCOMPUTER SOFTWARE PAPERBACK BOOKS - TRADE TEXTBOOKS - COLLEGE DICTIONARIES, ENCYCLOPEDIAS PERIODICALS 
PROFESSIONAL BOOKS 
SCIENCE (GENERAL) 
BUSINESS 
SOCIAL SCIENCES AND SOCIOLOGY 
COMPUTER SCIENCE, DATA PROCESSING 
ENGINEERING (GENERAL),System.Byte[]
11,SINGULAR,SINGULAR PUB GROUP,,,,,,,,System.Byte[]
12,Duke Press,Duke Press,,,,,,,,System.Byte[]
13,Oxford University,Oxford University Press,,,,,,,,System.Byte[]
14,Mit Press,Mit Press,,,,,,,,System.Byte[]
15,CAMBRIDGE UNIV,CAMBRIDGE UNIV PR,,,,,,,,System.Byte[]
16,Q E D,Q E D PUB CO,,,,,,,,System.Byte[]
17,Cambridge University,Cambridge University Press,,,,,,,,System.Byte[]
18,WORLD SCIENTIFIC,WORLD SCIENTIFIC PUB CO,,,,,,,,System.Byte[]
19,IDG,IDG BOOKS WORLDWIDE,,,,,,,,System.Byte[]
20,GOWER PUB,GOWER PUB CO,,,,,,,,System.Byte[]
21,John Wiley,John Wiley,605 Third Ave,New York,NY,10158,212-850-6000,212-850-6088 ,DATABASES MICROCOMPUTER SOFTWARE PAPERBACK BOOKS - TRADE TEXTBOOKS - COLLEGE DICTIONARIES, ENCYCLOPEDIAS PERIODICALS 
PROFESSIONAL BOOKS 
SCIENCE (GENERAL) 
BUSINESS 
SOCIAL SCIENCES AND SOCIOLOGY 
COMPUTER SCIENCE, DATA PROCESSING 
ENGINEERING (GENERAL),System.Byte[]
22,MCGRAW HILL TEXT,MCGRAW HILL TEXT,,,,,,,,System.Byte[]
23,ZIFF DAVIS,ZIFF DAVIS,,,,,,,,System.Byte[]
24,ORACLE PR,ORACLE PR,,,,,,,,System.Byte[]
25,CORIOLIS GROUP,CORIOLIS GROUP,,,,,,,,System.Byte[]
26,Prentice-Hall,Prentice-Hall,,,,,,,,System.Byte[]
27,South-Western Educational,South-Western Educational,P.O. Box 64256, 50 W. Kellogg Blvd.,St. Paul,MN,55164-0526,,,,System.Byte[]
28,INTL THOMSON COMPUTER PR(SHRT DISC),INTL THOMSON COMPUTER PR(SHRT DISC),,,,,,,,System.Byte[]
29,PRENTICE HALL,PRENTICE HALL COMPUTER BOOKS,15 Columbus Cir.,New York,NY,10023,800-922-0579,,,System.Byte[]
30,MARCEL DEKKER,MARCEL DEKKER,,,,,,,,System.Byte[]
31,DUKE COMMUNICATIONS,DUKE COMMUNICATIONS,,,,,,,,System.Byte[]
32,INST OF ELECTRICAL &,INST OF ELECTRICAL &,,,,,,,,System.Byte[]
33,Ziegler, Jurgen,Ziegler, Jurgen,,,,,,,,System.Byte[]
34,McGraw-Hill,McGraw-Hill,1221 Ave of the Americas,New York,NY,10020,800-822-8138,,,System.Byte[]
35,Kluwer Academic,Kluwer Academic,,,,,,,,System.Byte[]
36,West,West Pub Co,P.O. Box 64256, 50 W. Kellogg Blvd.,St. Paul,MN,55164-0526,,,,System.Byte[]
37,Kluwer,Kluwer,,,,,,,,System.Byte[]
38,Boyd & Fraser,Boyd & Fraser Pub Co,20 Park Place., Suite 1405,Boston,MA,02116,617-426-2292,,,System.Byte[]
39,NEAL SCHUMAN,NEAL SCHUMAN PUB,,,,,,,,System.Byte[]
40,MICROSOFT,MICROSOFT PR,,,,,,,,System.Byte[]
41,OXFORD UNIV,OXFORD UNIV PR,,,,,,,,System.Byte[]
42,WROX,WROX PR INC,,,,,,,,System.Byte[]
43,WAITE GROUP,WAITE GROUP PR,,,,,,,,System.Byte[]
44,AP PROFESSIONAL,AP PROFESSIONAL,,,,,,,,System.Byte[]
45,QUE CORP,QUE CORP,11711 N College Ave, Suite 140,Carmel,IN,46032,,,,System.Byte[]
46,WADSWORTH,WADSWORTH PUB CO,10 Davis Dr.,Belmont,CA,94002,,,,System.Byte[]
47,Irwin,Irwin,4 Gentry St.,Baldwinsville,NY,13027,315-638-0175,,,System.Byte[]
48,KLUWER ACADEMIC,KLUWER ACADEMIC PUB,,,,,,,,System.Byte[]
49,Addison-Wesley,Addison-Wesley,Rte 128,Reading,MA,01867,617-944-3700,617-964-9460,,System.Byte[]
50,Starbuck, Orca,Starbuck, Orca,,,,,,,,System.Byte[]
51,Blacklock, P.,Blacklock, P.  Computer Programming (Edt),,,,,,,,System.Byte[]
52,Waite Group,Waite Group Press,100 Shoreline Hwy., Suite A285,Mill Valley,CA,94941,415-331-0575,415-331-1075,,System.Byte[]
53,Kluwer Academic,Kluwer Academic Publishers,,,,,,,,System.Byte[]
54,West,West Pub,P.O. Box 64256, 50 W. Kellogg Blvd.,St. Paul,MN,55164-0526,,,,System.Byte[]
55,BLACKWELL PUB,BLACKWELL PUB,3 Cambridge Ctr., Suite 208,Cambridge,MA ,02142,617-225-0401,,,System.Byte[]
56,MCCLELLAND & STEWART,MCCLELLAND & STEWART,,,,,,,,System.Byte[]
57,HAYDEN,HAYDEN BOOKS,11711 N. College Ave., Ste 140,Carmel,IN,46032,317-573-2500,,,System.Byte[]
58,BRADFORD,BRADFORD BOOKS,,,,,,,,System.Byte[]
59,RAND,RAND CORP,,,,,,,,System.Byte[]
60,GOODHEART-WILLCOX,GOODHEART-WILLCOX CO,,,,,,,,System.Byte[]
61,SIGS,SIGS PUBNS,,,,,,,,System.Byte[]
62,IEEE COMPUTER SOCIETY,IEEE COMPUTER SOCIETY,10662 Los Vaqueros Circle,Los Alamitos,CA,90720,800-272-6657,714-821-4010,PROFESSIONAL BOOKS ASSOCIATION PRESSES SCHOLARLY BOOKS SUBSCRIPTION AND MAIL ORDER BOOKS VIDEO CASSETTES TEXTBOOKS - COLLEGE VIDEO CASSETTES 
COMPUTER SCIENCE, DATA PROCESSING 
ELECTRONICS, ELECTRICAL ENGINEERING 
INDUSTRIAL, TECHNOLOGY 
ENGINEERING (GENERAL),System.Byte[]
